RequestTime,Predicted,SendBytes,ReceiveBytes,TimeTaken,UrlType1,UrlType2,UrlType3,Method_GET,Method_POST,Method_PUT,Method_DELETE,Method_HEAD,Method_OPTIONS,Method_PATCH,GroupCount
2023-04-02,1,133985276,9489146,1284508,9923,0,0,8410,1513,0,0,0,0,0,9923
2023-04-02,2,3429,22287,3451,23,0,0,22,1,0,0,0,0,0,23
2023-04-02,3,434228991,7104327,1514391,0,12161,11,12143,0,0,0,29,0,0,12172
2023-04-02,4,367443,928670,70368,0,1091,42,1124,0,0,0,9,0,0,1133
2023-04-02,5,156009964,1063367,873569,9,2531,64,2604,0,0,0,0,0,0,2604
2023-04-02,6,6509,3728,4555,0,2,17,18,0,0,0,1,0,0,19
2023-04-03,1,173845707,12345851,1795732,13065,0,0,11090,1975,0,0,0,0,0,13065
2023-04-03,2,4608,21135,1021,22,0,0,21,1,0,0,0,0,0,22
2023-04-03,3,514748677,8374632,1685290,0,14413,14,14401,1,0,0,25,0,0,14427
2023-04-03,4,481153,1192934,77212,0,1413,52,1465,0,0,0,0,0,0,1465
2023-04-03,5,266983699,1670644,1289435,33,3928,75,4034,2,0,0,0,0,0,4036
2023-04-03,6,10386,5973,4880,0,1,28,29,0,0,0,0,0,0,29
2023-04-04,1,179977352,13984392,1640886,14207,0,0,11796,2411,0,0,0,0,0,14207
2023-04-04,2,3166,20552,4433,25,0,0,25,0,0,0,0,0,0,25
2023-04-04,3,495403671,8015605,2356346,0,13724,7,13698,1,0,0,32,0,0,13731
2023-04-04,4,421082,1026446,61561,0,1251,42,1293,0,0,0,0,0,0,1293
2023-04-04,5,198064713,1377806,881103,8,3552,72,3630,2,0,0,0,0,0,3632
2023-04-04,6,11443,7025,4671,0,3,30,33,0,0,0,0,0,0,33
2023-04-05,1,163981342,15044918,1672361,15636,0,0,13201,2435,0,0,0,0,0,15636
2023-04-05,2,4093,34310,6564,35,0,0,33,2,0,0,0,0,0,35
2023-04-05,3,650814803,10389288,1805140,0,17785,40,17817,1,0,0,7,0,0,17825
2023-04-05,4,499449,1277052,92178,0,1481,52,1530,2,0,0,1,0,0,1533
2023-04-05,5,275355693,1804631,1005218,8,4270,101,4378,1,0,0,0,0,0,4379
2023-04-05,6,9674,10023,24453,0,12,26,38,0,0,0,0,0,0,38
2023-04-06,1,386294578,38072811,4094537,38862,0,0,32274,6587,0,1,0,0,0,38862
2023-04-06,2,8265,33718,4141,40,0,0,38,2,0,0,0,0,0,40
2023-04-06,3,1515791439,24958451,4215703,0,41506,15,41508,0,0,0,13,0,0,41521
2023-04-06,4,1238861,3119911,194083,0,3710,53,3763,0,0,0,0,0,0,3763
2023-04-06,5,226168175,2059599,1254506,40,5491,82,5612,0,0,0,1,0,0,5613
2023-04-06,6,9156,7221,14148,0,7,25,32,0,0,0,0,0,0,32
2023-04-07,1,335975461,31545331,3959611,31772,0,0,26561,5206,0,1,0,4,0,31772
2023-04-07,2,3705,17683,21003,21,0,0,20,1,0,0,0,0,0,21
2023-04-07,3,1308542883,21772358,3812603,0,35847,19,35852,0,0,0,14,0,0,35866
2023-04-07,4,1171999,3004478,181879,0,3457,62,3518,1,0,0,0,0,0,3519
2023-04-07,5,281635173,2170894,1313277,15,5473,74,5560,0,0,0,2,0,0,5562
2023-04-07,6,7186,4252,3182,0,3,18,21,0,0,0,0,0,0,21
2023-04-08,1,230720620,19171924,2432942,20238,0,0,16978,3260,0,0,0,0,0,20238
2023-04-08,2,5519,22006,1558,25,0,0,24,1,0,0,0,0,0,25
2023-04-08,3,795742391,12618961,2885043,0,22085,23,22098,1,0,0,9,0,0,22108
2023-04-08,4,703056,1775536,97317,0,2073,53,2125,1,0,0,0,0,0,2126
2023-04-08,5,296485571,2015099,1332945,13,4956,70,5039,0,0,0,0,0,0,5039
2023-04-08,6,9216,6276,7747,0,7,21,28,0,0,0,0,0,0,28
2023-04-09,1,174144189,17982942,2119212,19085,0,0,15992,3092,0,0,0,1,0,19085
2023-04-09,2,7428,29056,7376,33,0,0,33,0,0,0,0,0,0,33
2023-04-09,3,830239792,13353547,2319154,0,23106,8,23104,0,0,0,10,0,0,23114
2023-04-09,4,673253,1564135,189378,0,1793,313,2104,1,0,0,1,0,0,2106
2023-04-09,5,244898263,1753486,1274730,40,4463,84,4586,0,0,0,1,0,0,4587
2023-04-09,6,6955,8924,22731,0,35,17,52,0,0,0,0,0,0,52
2023-04-10,1,348982026,38313327,4228922,39217,0,0,32965,6252,0,0,0,0,0,39217
2023-04-10,2,7896,34186,8647,39,0,0,37,2,0,0,0,0,0,39
2023-04-10,3,1597827693,26837338,4941629,0,44200,26,44207,0,0,0,19,0,0,44226
2023-04-10,4,1302960,3294804,183426,0,3910,40,3950,0,0,0,0,0,0,3950
2023-04-10,5,253788051,2214417,1541031,13,5899,69,5980,1,0,0,0,0,0,5981
2023-04-10,6,6655,5228,20264,0,8,15,23,0,0,0,0,0,0,23
2023-04-11,1,334273603,37142473,3842489,38250,0,0,32329,5921,0,0,0,0,0,38250
2023-04-11,2,1360,21831,2814,25,0,0,21,4,0,0,0,0,0,25
2023-04-11,3,1607664236,26851484,4567504,0,44371,15,44360,0,0,0,26,0,0,44386
2023-04-11,4,1289789,3292499,193025,0,3878,38,3915,0,0,0,1,0,0,3916
2023-04-11,5,418596973,3078803,1741103,9,7555,61,7625,0,0,0,0,0,0,7625
2023-04-11,6,6833,12545,37004,0,29,19,48,0,0,0,0,0,0,48
2023-04-12,1,444028624,45205461,4700464,45895,0,0,38769,7126,0,0,0,0,0,45895
2023-04-12,2,4201,32875,2227,35,0,0,33,2,0,0,0,0,0,35
2023-04-12,3,1869374235,31150882,5742047,0,51486,21,51499,1,0,0,7,0,0,51507
2023-04-12,4,1565066,3979967,228451,0,4693,37,4729,1,0,0,0,0,0,4730
2023-04-12,5,484498190,2949383,1805451,48,7963,92,8102,1,0,0,0,0,0,8103
2023-04-12,6,6803,5818,14669,0,9,16,25,0,0,0,0,0,0,25
2023-04-13,1,610358288,47747674,5754143,48103,0,0,39897,8206,0,0,0,0,0,48103
2023-04-13,2,8468,32668,5099,36,0,0,35,1,0,0,0,0,0,36
2023-04-13,3,1773201345,29138066,5050387,0,48254,18,48250,1,0,0,21,0,0,48272
2023-04-13,4,1506794,3858361,216732,0,4507,35,4541,1,0,0,0,0,0,4542
2023-04-13,5,431857637,3160297,1859063,21,7930,55,8006,0,0,0,0,0,0,8006
2023-04-13,6,8038,8617,7585,7,14,16,37,0,0,0,0,0,0,37
2023-04-14,1,707040088,59711864,5531807,50519,0,0,42398,8114,0,7,0,0,0,50519
2023-04-14,2,11698,50623,9181,51,0,0,50,1,0,0,0,0,0,51
2023-04-14,3,1870999363,30796754,5734314,0,51362,14,51370,0,0,0,6,0,0,51376
2023-04-14,4,1582402,4053170,231781,0,4767,26,4793,0,0,0,0,0,0,4793
2023-04-14,5,277365660,2486104,1652933,11,6919,71,7001,0,0,0,0,0,0,7001
2023-04-14,6,7868,8259,14909,2,23,13,38,0,0,0,0,0,0,38
2023-04-15,1,342130656,30233656,3385423,31795,0,0,26806,4988,0,1,0,0,0,31795
2023-04-15,2,9043,34152,5347,36,0,0,34,2,0,0,0,0,0,36
2023-04-15,3,1346810904,21738790,4680905,0,37473,17,37479,2,0,0,9,0,0,37490
2023-04-15,4,1135326,2872663,186586,0,3336,106,3440,2,0,0,0,0,0,3442
2023-04-15,5,445191983,3172307,1875776,32,7498,78,7607,1,0,0,0,0,0,7608
2023-04-15,6,8476,7032,16830,0,8,23,30,0,0,0,1,0,0,31
2023-04-16,1,233508362,23347463,3177839,24193,0,0,20195,3998,0,0,0,0,0,24193
2023-04-16,2,7229,25146,4459,27,0,0,27,0,0,0,0,0,0,27
2023-04-16,3,964361458,15486845,3155312,0,26768,8,26766,1,0,0,9,0,0,26776
2023-04-16,4,965573,2408170,154274,0,2849,73,2921,1,0,0,0,0,0,2922
2023-04-16,5,261019906,2275562,1495146,9,6169,100,6274,0,0,0,4,0,0,6278
2023-04-16,6,15083,9882,26317,2,9,45,50,0,0,0,6,0,0,56
2023-04-17,1,458360938,46540962,5218168,47117,0,0,39085,8031,0,1,0,0,0,47117
2023-04-17,2,7712,26874,2839,26,0,0,25,1,0,0,0,0,0,26
2023-04-17,3,1834108110,30733835,5743980,0,50119,24,50119,0,0,0,24,0,0,50143
2023-04-17,4,1688683,4404369,247525,0,5060,52,5106,6,0,0,0,0,0,5112
2023-04-17,5,294810214,2751701,1776027,14,7340,67,7419,2,0,0,0,0,0,7421
2023-04-17,6,6697,8594,31583,0,13,17,30,0,0,0,0,0,0,30
2023-04-18,1,346594302,37591072,3885332,38519,0,0,32113,6406,0,0,0,0,0,38519
2023-04-18,2,5919,25803,130834,28,0,0,26,2,0,0,0,0,0,28
2023-04-18,3,1562718080,26245602,8213759,0,42911,13,42906,0,0,0,18,0,0,42924
2023-04-18,4,1391539,3509498,187220,0,4150,46,4195,0,0,0,1,0,0,4196
2023-04-18,5,219466913,2037724,1440247,41,5538,63,5642,0,0,0,0,0,0,5642
2023-04-18,6,5964,4966,19616,0,6,15,21,0,0,0,0,0,0,21
2023-04-19,1,404481372,41112295,4361834,41804,0,0,34804,7000,0,0,0,0,0,41804
2023-04-19,2,10367,45163,13993,43,0,0,42,1,0,0,0,0,0,43
2023-04-19,3,1577869127,26592296,4472598,0,43524,32,43546,0,0,0,10,0,0,43556
2023-04-19,4,2327960,5117000,845001,0,5029,3736,8759,2,2,0,2,0,0,8765
2023-04-19,5,187587574,1942984,1440021,23,5491,68,5579,0,0,0,3,0,0,5582
2023-04-19,6,9073,7883,16951,0,7,28,30,0,0,0,5,0,0,35
2023-04-20,1,348611136,35958378,3652880,37041,0,0,31358,5682,0,0,0,1,0,37041
2023-04-20,2,6119,26841,8090,29,0,0,28,1,0,0,0,0,0,29
2023-04-20,3,1593180228,26645746,4788085,0,43729,27,43743,2,0,0,11,0,0,43756
2023-04-20,4,1487282,3777491,247672,0,4441,48,4486,3,0,0,0,0,0,4489
2023-04-20,5,224968230,2156591,1690581,29,5981,70,6078,2,0,0,0,0,0,6080
2023-04-20,6,6070,7299,10306,0,29,10,39,0,0,0,0,0,0,39
2023-04-21,1,514373934,38825161,5233741,39725,0,0,33237,6488,0,0,0,0,0,39725
